epoch,acc,loss,val_acc,val_loss
90,0.582221350078,1.87653886598,0.709756577885,1.37488227982
91,0.57329277865,1.8927650083,0.705576282973,1.42475062224
92,0.585655416013,1.82615919315,0.69222462203,1.41611934888
93,0.585164835165,1.86786045179,0.69791871376,1.39734643072
94,0.586538461538,1.85841338039,0.697329669846,1.41743010705
95,0.586636577708,1.84241780363,0.703121932836,1.43164747568
96,0.583594976452,1.84518405556,0.7045945423,1.40834590849
97,0.582515698587,1.82941658381,0.701158454452,1.392037588
98,0.586342229199,1.84614748184,0.703023758872,1.41617531175
99,0.594437893082,1.81641089579,0.715099157506,1.40401562241
100,0.593897174254,1.80467923357,0.70390732455,1.40585543666
101,0.592817896389,1.81008416442,0.696838799123,1.38494467246
102,0.592523547881,1.8245299699,0.705143307371,1.37343379882
103,0.591934850863,1.79475521349,0.707695330177,1.38435409132
104,0.591542386185,1.83568691608,0.703670986175,1.40408123593
105,0.596546310832,1.80701645259,0.707499019155,1.44436500627
106,0.594485871272,1.80454795402,0.704161760453,1.41060974376
107,0.59262166405,1.82308028257,0.709012373524,1.41750820184
