epoch,acc,loss,val_acc,val_loss
0,0.0311028257457,15.5552325915,0.0535924617197,15.2550186371
1,0.0476844583987,15.336473429,0.0703907323778,14.9775939981
2,0.0582810047096,15.1669304996,0.0750049086982,14.9082938842
3,0.0578885400314,15.1707763253,0.0775574317691,14.8680175929
4,0.0667189952904,15.0368046558,0.0782446495189,14.8569406977
5,0.0645604395604,15.0648628456,0.0672491655213,15.0341672933
6,0.0701530612245,14.9802741915,0.0788336933045,14.8474770158
7,0.0723116169545,14.9448166657,0.0789318672688,14.8192934961
8,0.0737833594976,14.9178775865,0.0882583938739,14.6955382424
9,0.0755699685535,14.8884305744,0.0897310033379,14.6718025773
10,0.0760400313972,14.8806408144,0.0929707441586,14.6195850537
11,0.077806122449,14.8507317104,0.0876693500884,14.6840259968
12,0.0787872841444,14.8406794172,0.0922835264088,14.6306607849
13,0.079964678179,14.821959533,0.0970940506578,14.5534169882
14,0.0782967032967,14.8474288773,0.0943451796584,14.5872789526
15,0.0818288854003,14.7878018309,0.0937561358728,14.6069251169
16,0.081043956044,14.7992288239,0.0948360494797,14.589518988
17,0.0785910518053,14.8406046249,0.0894364814451,14.676549695
18,0.0816326530612,14.7852056075,0.0954250932653,14.5665230537
19,0.0860849056604,14.7209743464,0.111623797369,14.3045282943
20,0.0907574568289,14.6429409374,0.108264625049,14.3563117659
21,0.0849686028257,14.7341836872,0.103749509227,14.4458509976
22,0.0939952904239,14.5912085014,0.115135453475,14.2623460086
23,0.0938971742543,14.5917194687,0.112976050255,14.2971366812
24,0.0950745682889,14.5785371774,0.115822536317,14.2407617341
25,0.098704866562,14.5056934237,0.124460149195,14.1026466521
26,0.101550235479,14.461327454,0.118080094229,14.2148691896
27,0.10135400314,14.4713038036,0.121515508441,14.1594968563
28,0.102433281005,14.4541573891,0.119846878681,14.1650885255
