epoch,acc,loss,val_acc,val_loss
0,0.332515698587,4.55787702295,0.658421672673,1.99894399815
1,0.476648351648,3.35868058586,0.664539565781,1.91221175354
2,0.52580455259,2.9118929699,0.69261731969,1.74908204413
3,0.557888540031,2.61401117166,0.687217752427,1.81269986319
4,0.587912087912,2.30393224253,0.692519144953,1.76410434505
5,0.611656200942,2.09402870496,0.706263500722,1.68673839519
6,0.625490580848,1.92923530286,0.707834283378,1.70456579657
7,0.645800627943,1.73892521802,0.703121933866,1.68364925233
8,0.654140502355,1.64952813194,0.702729237108,1.6891973337
9,0.66784591195,1.54897343691,0.713135678993,1.66651713579
10,0.68318288854,1.44191454699,0.704300020665,1.70800791418
